node_id,commodity_name
0,Abrasives (Manufactured)
1,Alumina
2,Aluminum
3,Antimony
4,Argon
5,Arsenic
6,Asbestos
7,Barite
8,Bauxite
9,Beryllium
10,Bismuth
11,Boron
12,Bromine
13,Cadmium
14,Cement
15,Cerium
16,Cesium
17,Chromium
18,Clays
19,Cobalt
20,Copper
21,"Diamond (Bort, grit, and dust and powder; natural and synthetic)"
22,Diamond (Industrial)
23,"Diamond (Stones, natural and synthetic)"
24,Diatomite
25,Dysprosium
26,Erbium
27,Europium
28,Feldspar
29,Feldspar And Nepheline Syenite
30,Fluorspar
31,Gadolinium
32,Gallium
33,Garnet (Industrial)
34,Gemstones
35,Germanium
36,Gold
37,Granite Only
38,Graphite (Natural)
39,Ground high-purity quartz
40,Gypsum
41,Hafnium
42,Helium
43,Holmium
44,Indium
45,Industrial cultured quartz crystal
46,Iodine
47,Iridium
48,Iron And Steel
49,Iron And Steel Scrap
50,Iron And Steel Slag
51,Iron Ore
52,Iron Oxide Pigments
53,Krypton
54,Kyanite And Related Minerals
55,Lanthanum
56,Lead
57,Lime
58,Lithium
59,Lutetium
60,Magnesium Compounds
61,Magnesium Metal
62,Manganese
63,Mercury
64,Mica (Natural)
65,Molybdenum
66,Neodymium
67,Neon
68,"Neon, krypton, and xenon "
69,Nepheline Syenite
70,Nickel
71,Niobium (Columbium)
72,Nitrogen (Fixed)Ammonia
73,Osmium
74,Palladium
75,Peat
76,Perlite
77,Phosphate Rock
78,Platinum
79,Platinum-Group Metals
80,Potash
81,Praseodymium
82,Pumice And Pumicite
83,Quartz (High-Purity And Industrial Cultured Crystal)
84,Rare Earths
85,Rare Earths (Heavy)
86,Rhenium
87,Rhodium
88,Rubidium
89,Ruthenium
90,Salt
91,Samarium
92,Sand And Gravel (Construction)
93,Sand And Gravel (Industrial)
94,Scandium
95,Selenium
96,Silicon
97,Silver
98,Soda Ash
99,Stone (Crushed)
100,Stone (Dimension)
101,Strontium
102,Sulfur
103,Talc And Pyrophyllite
104,Tantalum
105,Tellurium
106,Terbium
107,Thallium
108,Thorium
109,TiO2 Pigment
110,TiO2 pigment
111,Tin
112,Tio2 Pigment
113,Titanium Mineral Concentrates
114,Titanium Sponge Metal
115,Titanium sponge metal
116,Tungsten
117,Vanadium
118,Vermiculite
119,Wollastonite
120,Xenon
121,Ytterbium
122,Yttrium
123,Zeolites (Natural)
124,Zinc
125,Zirconium
126,Zirconium And Hafnium
