Source,Critical_Mineral,Primary_Applications,Category_Note
MCS2026,Aluminum,Metallurgy and many sectors of the economy.,
MCS2026,Antimony,Flame retardants and lead-acid batteries.,
MCS2026,Arsenic,Pesticides and semiconductors.,
MCS2026,Barite,Oil and gas drilling and medical imaging.,
MCS2026,Beryllium,Aerospace and defense.,
MCS2026,Bismuth,"Medical, metallurgy, and atomic research.",
MCS2026,Boron,Nuclear energy and hardening of steel and glass.,
MCS2026,Cerium,"Catalytic converters, ceramics, glass, metallurgy, and polishing compounds.",Included in the Rare Earths chapter.
MCS2026,Cesium,Atomic clocks for global positioning systems and research and development.,
MCS2026,Chromium,Stainless steel and metallurgy.,
MCS2026,Cobalt,Batteries and metallurgy.,
MCS2026,Copper,Wiring and cables.,
MCS2026,Dysprosium,"Data storage devices, lasers, and permanent magnets.",Included in the Rare Earths chapter.
MCS2026,Erbium,"Fiber optics, glass colorant, lasers, and optical amplifiers.",Included in the Rare Earths chapter.
MCS2026,Europium,Nuclear control rods and phosphors.,Included in the Rare Earths chapter.
MCS2026,Fluorspar,"Cement, industrial chemicals, and metallurgy.",
MCS2026,Gadolinium,"Medical imaging, metallurgy, and permanent magnets.",Included in the Rare Earths chapter.
MCS2026,Gallium,Integrated circuits and optical devices.,
MCS2026,Germanium,"Fiber optics, semiconductors, and night vision.",
MCS2026,Graphite,"Batteries, fuel cells, and lubricants.",
MCS2026,Hafnium,"Ceramics, nuclear control rods, semiconductors, and super alloys for aerospace.",
MCS2026,Holmium,"Lasers, nuclear control rods, and permanent magnets.",Included in the Rare Earths chapter.
MCS2026,Indium,Flat-panel displays and touchscreens.,
MCS2026,Iridium,Anode coatings for electrochemical processes and chemical catalysts.,Included in the Platinum-Group Metals chapter.
MCS2026,Lanthanum,"Batteries, catalysts, ceramics, glass, and metallurgy.",Included in the Rare Earths chapter.
MCS2026,Lead,"Ammunition, batteries, ceramics and glass production.",
MCS2026,Lithium,Batteries.,
MCS2026,Lutetium,"Cancer therapies, electronics, and medical imaging.",Included in the Rare Earths chapter.
MCS2026,Magnesium,"Metal alloys for aerospace, automotive, and electronics industries.",
MCS2026,Manganese,Batteries and metallurgy.,
MCS2026,Metallurgical coal,Steel production.,Included in the 2025 Final List of Critical Minerals but does not have a chapter in the Mineral Commodity Summaries 2026. The USGS does not collect data on metallurgical coal or uranium.
MCS2026,Neodymium,"Catalysts, lasers, and permanent magnets.",Included in the Rare Earths chapter.
MCS2026,Nickel,Batteries and metallurgy.,
MCS2026,Niobium,Steels and superalloys.,
MCS2026,Palladium,"Catalytic converters, electronics, and catalysts.",Included in the Platinum-Group Metals chapter.
MCS2026,Phosphate Rock,Fertilizers.,
MCS2026,Platinum,"Catalytic converters, aerospace alloys, chemical refining, and petroleum processing.",Included in the Platinum-Group Metals chapter.
MCS2026,Potash,Fertilizers.,
MCS2026,Praseodymium,"Aerospace alloys, batteries, ceramics, colorants, and permanent magnets.",Included in the Rare Earths chapter.
MCS2026,Rhenium,High-performance jet engines and gas turbines.,
MCS2026,Rhodium,Catalysts including catalytic converters and electrical components.,Included in the Platinum-Group Metals chapter.
MCS2026,Rubidium,"Atomic clocks for global positioning systems, data network syncing, and research and development.",
MCS2026,Ruthenium,"Catalysts, electronic components, and computer chips.",Included in the Platinum-Group Metals chapter.
MCS2026,Samarium,"Cancer treatments, nuclear reactor components, and permanent magnets.",Included in the Rare Earths chapter.
MCS2026,Scandium,"Ceramics, fuel cells, and metallurgy.",
MCS2026,Silicon,Metallurgy and silicon wafers fundamental to semiconductors.,
MCS2026,Silver,"Batteries, electrical circuits, anti-bacterial medical instruments, and solar cells.",
MCS2026,Tantalum,Capacitors and metallurgy.,
MCS2026,Tellurium,"Metallurgy, solar cells, and thermoelectric devices.",
MCS2026,Terbium,"Fiber optics, lasers, permanent magnets, and solid state devices.",Included in the Rare Earths chapter.
MCS2026,Thulium,"Lasers, x-ray devices, and metallurgy.",Included in the Rare Earths chapter.
MCS2026,Tin,Metallurgy.,
MCS2026,Titanium,Metallurgy and pigments.,
MCS2026,Tungsten,Metallurgy.,
MCS2026,Uranium,Nuclear fuel and medical applications.,Included in the 2025 Final List of Critical Minerals but does not have a chapter in the Mineral Commodity Summaries 2026. The USGS does not collect data on metallurgical coal or uranium.
MCS2026,Vanadium,"Batteries, catalysts, and metallurgy.",
MCS2026,Ytterbium ,"Catalysts, lasers, metallurgy, and scintillators.",
MCS2026,Yttrium,"Catalysts, ceramics, lasers, metallurgy, and phosphors.",
MCS2026,Zinc,Protective coatings for iron and steel.,
MCS2026,Zirconium,Ceramics heat shields in aerospace engine components and nuclear reactors.,
